,Gene symbol,theoritical_peptide,Sum_of_intensity,iBAQ
486,WP_000391771.1,60,1500798647.5574005,25013310.79262334
487,WP_000391865.1,10,3297653255.9262004,329765325.59262
488,WP_000392265.1,26,111665062.1972,4294810.084507693
489,WP_000392362.1,9,4502456882.589599,500272986.9543998
490,WP_000392377.1,34,1028741745.6299995,30257110.165588222
491,WP_000392647.1,25,161720742.805,6468829.7122
492,WP_000393265.1,89,120067544.78799999,1349073.53694382
493,WP_000393451.1,41,6302962490.939098,153730792.46192923
494,WP_000393533.1,48,175739666.835,3661243.0590625
495,WP_000393538.1,23,41273994473.135735,1794521498.8319886
496,WP_000393747.1,21,46063678.752,2193508.5119999996
497,WP_000393930.1,14,3271518.9622,233679.92587142857
498,WP_000393984.1,19,29028155.057999995,1527797.6346315786
499,WP_000394235.1,27,24131162.524199992,893746.7601555553
500,WP_000394249.1,3,1694491415.4162,564830471.8054
501,WP_000394787.1,21,8669573.522,412836.83438095235
502,WP_000394955.1,7,81179212.0164,11597030.288057143
503,WP_000395725.1,20,104844933.8085,5242246.690425
504,WP_000395994.1,21,2190022153.5109005,104286769.21480478
505,WP_000398444.1,88,4391088360.556999,49898731.3699659
506,WP_000399950.1,26,3234604.746,124407.87484615383
507,WP_000400940.1,21,1430309553.7354002,68109978.74930477
508,WP_000402080.1,28,18424449.325999998,658016.0473571428
509,WP_000402226.1,79,283749828.68680006,3591769.983377216
510,WP_000402517.1,36,2284420800.2446995,63456133.34013054
511,WP_000402845.1,23,25646230.398000002,1115053.4955652175
512,WP_000403128.1,33,8692198.188,263399.9450909091
513,WP_000403254.1,21,1607162416.0096,76531543.61950476
514,WP_000405186.1,9,3598279.798,399808.86644444446
515,WP_000405900.1,45,28004480617.153255,622321791.4922945
516,WP_000405946.1,30,366273833.2765,12209127.775883334
517,WP_000406135.1,6,164055085.6928,27342514.28213333
518,WP_000406163.1,12,37474277.7916,3122856.482633333
519,WP_000406878.1,8,18003565394.040657,2250445674.255082
520,WP_000406879.1,7,5252198267.148399,750314038.164057
521,WP_000406975.1,2,13695706506.96343,6847853253.481715
522,WP_000409183.1,26,337412006.7922001,12977384.876623081
523,WP_000409256.1,13,424202316.799,32630947.446076926
524,WP_000409822.1,43,16865706247.825754,392225726.6936222
525,WP_000410044.1,21,112025726.58400002,5334558.4087619055
526,WP_000410273.1,20,498853786.11516005,24942689.305758003
527,WP_000410299.1,30,2265999726.1548014,75533324.20516005
528,WP_000410308.1,19,637978576.4200002,33577819.81157896
529,WP_000410868.1,38,247389801.4824001,6510257.933747371
530,WP_000410918.1,18,1145716883.7240002,63650937.984666675
531,WP_000412038.1,17,46745117.9063,2749712.818017647
532,WP_000412073.1,47,3068859736.2292004,65294888.004876606
533,WP_000412102.1,44,1816846426.5142007,41291964.238959104
534,WP_000412660.1,39,3437251354.3317394,88134650.11107025
535,WP_000414123.1,30,677149334.8086,22571644.493619997
536,WP_000414477.1,6,29122406.382,4853734.397
537,WP_000414808.1,20,22488269858.027718,1124413492.9013858
538,WP_000416252.1,55,878770087.2829999,15977637.950599998
539,WP_000418124.1,7,26683690.7164,3811955.8166285716
540,WP_000418455.1,27,462728355.28380007,17138087.232733335
541,WP_000420145.1,14,3236384.044,231170.28885714288
542,WP_000420355.1,12,260387876.3,21698989.691666666
543,WP_000421034.1,34,1596020781.0480006,46941787.67788237
544,WP_000422624.1,8,2954804698.4710007,369350587.3088751
545,WP_000422649.1,36,23055598323.83794,640433286.7732761
546,WP_000423512.1,32,620867257.3640001,19402101.792625003
547,WP_000424589.1,46,58803043.44399999,1278327.0313913042
548,WP_000424716.1,15,11286598699.597193,752439913.3064796
549,WP_000424879.1,13,31499893202.065624,2423068707.851202
550,WP_000424905.1,17,76384254.55199999,4493191.444235293
551,WP_000425174.1,21,71790982.0274,3418618.1917809523
552,WP_000426654.1,17,441089753.2814002,25946456.07537648
553,WP_000427211.1,9,1540211131.22,171134570.13555557
554,WP_000427711.1,9,3192661271.71,354740141.3011111
555,WP_000428155.1,51,1500917925.8939998,29429763.252823524
556,WP_000428541.1,40,14843573446.515974,371089336.1628994
557,WP_000428739.1,13,341702316.29787993,26284793.56137538
558,WP_000429410.1,75,3465486536.3583,46206487.151444
559,WP_000431183.1,45,16342152052.9102,363158934.5091156
560,WP_000431263.1,21,20417367.3102,972255.5861999999
561,WP_000431287.1,40,5537761934.932599,138444048.37331498
562,WP_000431423.1,18,25559376.418,1419965.3565555557
563,WP_000432936.1,32,15683727559.465017,490116486.2332818
564,WP_000432947.1,37,9776522000.892454,264230324.3484447
565,WP_000433083.1,13,752202119.8729999,57861701.5286923
566,WP_000433088.1,7,320947729.99600005,45849675.713714294
567,WP_000433117.1,16,192027195.58600003,12001699.724125002
568,WP_000433142.1,24,32066924.437999997,1336121.8515833332
569,WP_000433586.1,35,2452051943.2171993,70058626.94906284
570,WP_000433639.1,63,39909456.394,633483.4348253969
571,WP_000433647.1,38,27259680.076,717360.002
572,WP_000433680.1,18,7357325738.846807,408740318.8248226
573,WP_000433715.1,22,112722828.99600002,5123764.954363638
574,WP_000433740.1,23,1051221565.59608,45705285.460699126
575,WP_000434146.1,10,653185149.2663999,65318514.92663999
576,WP_000435433.1,43,1978785261.6065006,46018261.8978256
577,WP_000435437.1,22,29336895.53,1333495.2513636365
578,WP_000438391.1,37,893072209.1499999,24137086.73378378
579,WP_000439024.1,17,3566098652.4811997,209770508.96948233
580,WP_000439715.1,29,4724180223.665395,162902766.33328947
581,WP_000439958.1,22,11557255.356,525329.7889090909
582,WP_000440098.1,13,17861201.162,1373938.550923077
583,WP_000440816.1,21,4025903803.8075976,191709704.94321895
584,WP_000443450.1,20,1067954885.3718998,53397744.268594995
585,WP_000444124.1,11,104188691.12599999,9471699.193272727
586,WP_000444199.1,75,102730289.602,1369737.1946933332
587,WP_000444207.1,19,1292933356.4779992,68049124.02515785
588,WP_000444601.1,9,17358082.474,1928675.8304444444
589,WP_000444619.1,5,6396193383.381001,1279238676.6762004
590,WP_000445616.1,29,65613743.0174,2262542.8626689655
591,WP_000445974.1,10,59034005.449599996,5903400.54496
592,WP_000446221.1,77,996057793.6107996,12935815.501438955
593,WP_000447207.1,20,52186913.7686,2609345.68843
594,WP_000447378.1,36,600477513.4111997,16679930.928088881
595,WP_000447930.1,34,7533038432.863799,221559953.9077588
596,WP_000447937.1,15,853386068.2028003,56892404.54685335
597,WP_000448278.1,20,27286946.348000005,1364347.3174000003
598,WP_000448293.1,26,2072544827.1862211,79713262.58408543
599,WP_000448574.1,10,3484781657.581601,348478165.7581601
600,WP_000448656.1,24,3445698593.363891,143570774.72349545
601,WP_000449386.1,34,196153870.10000002,5769231.473529412
602,WP_000449692.1,4,9477808.078,2369452.0195
603,WP_000449766.1,30,9244726357.596905,308157545.25323015
604,WP_000449876.1,89,16520422635.401543,185622726.24046677
605,WP_000450144.1,8,4396095014.8104,549511876.8513
606,WP_000450441.1,9,5329939586.524202,592215509.6138003
607,WP_000450798.1,90,19852089009.177853,220578766.7686428
608,WP_000451642.1,6,799838346.7837996,133306391.13063328
609,WP_000453256.1,34,6339530782.997498,186456787.73522052
610,WP_000453428.1,9,15728194.402800001,1747577.1558666667
611,WP_000453665.1,16,2379527732.6213207,148720483.28883255
612,WP_000454163.1,28,3407601615.407336,121700057.69311915
613,WP_000454661.1,16,3221332011.9676,201333250.747975
614,WP_000455556.1,23,3674032226.8244114,159740531.60106137
615,WP_000455718.1,35,2644396420.6853986,75554183.44815424
616,WP_000455908.1,26,9096604.01,349869.385
617,WP_000457916.1,6,635942576.8794001,105990429.47990002
618,WP_000457972.1,41,186416900.572,4546753.672487805
619,WP_000459126.1,17,225768895.73258996,13280523.278387645
620,WP_000459252.1,9,146340497.59199998,16260055.287999997
621,WP_000459763.1,8,72986791.044,9123348.8805
622,WP_000459773.1,26,103512197.14199999,3981238.351615384
623,WP_000460328.1,22,247904779.07770997,11268399.048986817
624,WP_000460443.1,19,232469409.09799996,12235232.057789471
625,WP_000461624.1,26,131749339.0188,5067282.269953846
626,WP_000462055.1,18,1980128725.1462986,110007151.39701658
627,WP_000462634.1,14,684853746.587,48918124.75621428
628,WP_000464749.1,16,49910627.44940001,3119414.2155875005
629,WP_000465176.1,23,127219855.47800002,5531298.06426087
630,WP_000465279.1,46,145894967.6316,3171629.731121739
631,WP_000465532.1,32,137787017.03239995,4305844.2822624985
632,WP_000465640.1,49,629921579.9612002,12855542.44818776
633,WP_000465997.1,14,1214859257.0121,86775661.21515
634,WP_000466324.1,23,15202736.9952,660988.5650086957
635,WP_000466472.1,23,108852020.062,4732696.524434783
636,WP_000468362.1,36,343585473.50399995,9544040.930666665
637,WP_000468940.1,28,23690953.237,846105.47275
638,WP_000469242.1,18,27663736.06,1536874.2255555554
639,WP_000470536.1,33,22096692.958000004,669596.7563030304
640,WP_000471275.1,38,1207508216.659,31776532.0173421
641,WP_000472806.1,16,18268192708.993298,1141762044.312081
642,WP_000472812.1,13,25112928.634,1931763.741076923
643,WP_000474070.1,18,4710886.994,261715.9441111111
644,WP_000475672.1,19,22996310.292000003,1210332.120631579
645,WP_000475809.1,28,4431735607.092602,158276271.68187863
646,WP_000475904.1,40,7332005846.195,183300146.15487498
647,WP_000476420.1,14,9823414.026,701672.4304285714
648,WP_000477701.1,10,4356780.13,435678.013
649,WP_000477913.1,18,82092048.42000002,4560669.356666667
650,WP_000478836.1,39,144082389.55599996,3694420.24502564
651,WP_000478876.1,21,38697004.092,1842714.4805714285
652,WP_000479265.1,11,1472701134.0929995,133881921.28118177
653,WP_000479709.1,21,723941574.4429998,34473408.306809515
654,WP_000479982.1,21,4551332241.566999,216730106.74128568
655,WP_000481720.1,49,2419155512.7365975,49370520.66809383
656,WP_000483735.1,30,139633070.68,4654435.689333334
657,WP_000483795.1,49,1792899506.9702003,36589785.8565347
658,WP_000485070.1,36,157383966.95000002,4371776.859722223
659,WP_000487322.1,21,1673074624.497601,79670220.21417148
660,WP_000487353.1,39,473869011.10800004,12150487.464307694
661,WP_000487747.1,39,3099200032.880003,79466667.50974366
662,WP_000488361.1,18,19868589.558,1103810.531
663,WP_000488432.1,39,1911815210.1812003,49020902.82515898
664,WP_000488503.1,73,10063377123.2621,137854481.14057672
665,WP_000488902.1,76,46354290.029999994,609924.8688157893
666,WP_000489169.1,17,43933911.6394,2584347.7434941176
667,WP_000489551.1,27,114321661.47399999,4234135.610148148
668,WP_000490514.1,38,263426857.04839998,6932285.7118
669,WP_000492446.1,14,311621852.89699996,22258703.77835714
670,WP_000492632.1,31,2116841998.524599,68285225.75885804
671,WP_000493050.1,11,5162384.976,469307.72509090905
672,WP_000494006.1,16,1864174299.9899998,116510893.74937499
673,WP_000500122.1,50,220770594.01699996,4415411.880339999
674,WP_000500892.1,28,35916107.116000004,1282718.1112857144
675,WP_000501205.1,18,3220922102.8523016,178940116.82512787
676,WP_000501992.1,11,1207776976.5188,109797906.95625454
677,WP_000502132.1,18,2678225079.615901,148790282.2008834
678,WP_000502718.1,36,57723534015.75171,1603431500.4375474
679,WP_000503525.1,12,9681265083.832603,806772090.3193836
680,WP_000503780.1,8,4208535622.844999,526066952.85562485
681,WP_000504720.1,31,9428954379.967106,304159818.7086163
682,WP_000504735.1,29,1152032801.353,39725269.01217241
683,WP_000504838.1,4,11295331.47,2823832.8675
684,WP_000505733.1,28,13577864363.379791,484923727.263564
685,WP_000505755.1,27,62381571.918,2310428.5895555555
686,WP_000508128.1,69,135675172.099,1966306.842014493
687,WP_000508748.1,26,10325080.074,397118.46438461536
688,WP_000508949.1,27,1228221074.7656004,45489669.43576298
689,WP_000509832.1,10,13556614.222,1355661.4222
690,WP_000510011.1,30,32104454.459000003,1070148.4819666666
691,WP_000510649.1,10,4776643203.8678,477664320.38677996
692,WP_000510657.1,155,377100446.9850001,2432906.109580646
693,WP_000510777.1,22,2191855440.3704014,99629792.74410915
694,WP_000511395.1,15,4903152.436,326876.82906666666
695,WP_000511542.1,26,2042982467.930199,78576248.76654612
696,WP_000512778.1,35,2793788.518,79822.5290857143
697,WP_000514163.1,25,881789157.7433996,35271566.30973598
698,WP_000516556.1,12,867303613.6426002,72275301.13688335
699,WP_000516588.1,19,152700957.765,8036892.513947368
700,WP_000516668.1,31,592404551.1832,19109824.23171613
701,WP_000517126.1,29,991542938.1666002,34191135.798848286
702,WP_000517242.1,18,1355722542.2652001,75317919.01473334
703,WP_000517944.1,17,80964681.38,4762628.316470588
704,WP_000520538.1,17,53839668.75999999,3167039.338823529
705,WP_000521950.1,82,1080625457.4556,13178359.237263415
706,WP_000523717.1,49,2100984135.7831006,42877227.260879606
707,WP_000524416.1,8,259845726.18780005,32480715.773475006
708,WP_000528391.1,36,5573899.35,154830.53749999998
709,WP_000529035.1,10,18982081.92,1898208.1920000003
710,WP_000529175.1,16,9385669.5944,586604.34965
711,WP_000529883.1,15,542725260.8137999,36181684.054253325
712,WP_000529920.1,25,1321855494.9145997,52874219.79658399
713,WP_000529953.1,27,1408795002.5754004,52177592.68797779
714,WP_000531352.1,23,1061771248.2098001,46163967.313469574
715,WP_000532389.1,29,121527682.7477,4190609.74992069
716,WP_000532666.1,36,116965898.13199998,3249052.7258888884
717,WP_000534538.1,17,130690334.25400001,7687666.72082353
718,WP_000534971.1,14,4151963363.4629965,296568811.6759283
719,WP_000535110.1,70,7170715373.047907,102438791.04354152
720,WP_000535887.1,41,729983979.8840001,17804487.314243905
721,WP_000536657.1,16,187999774.6198,11749985.9137375
722,WP_000536762.1,21,67369283.19,3208061.104285714
723,WP_000536871.1,15,8870653646.133703,591376909.7422469
724,WP_000537600.1,20,1885086759.424601,94254337.97123006
725,WP_000538229.1,11,956035954.727,86912359.52063636
726,WP_000538451.1,26,1335394670.5980003,51361333.48453847
727,WP_000538654.1,20,4247155992.168002,212357799.6084001
728,WP_000538752.1,25,16215714803.763191,648628592.1505276
729,WP_000539242.1,16,483951878.2706,30246992.3919125
730,WP_000539780.1,23,19854805.701,863252.4217826087
731,WP_000540770.1,8,413138946.5858001,51642368.323225014
732,WP_000545443.1,59,3845121866.868929,65171557.06557506
733,WP_000547427.1,25,3137037574.0397997,125481502.96159199
734,WP_000550734.1,4,129828156.77000004,32457039.19250001
735,WP_000551848.1,20,3422350474.290799,171117523.71453995
736,WP_000555988.1,45,96489866.96000001,2144219.265777778
737,WP_000557278.1,61,398949402.3669,6540154.137162295
738,WP_000558136.1,84,6281786.748,74783.17557142857
739,WP_000559149.1,11,2149498644.5632,195408967.68756363
740,WP_000559672.1,28,4679024212.070605,167108007.5739502
741,WP_000560473.1,14,723119398.1759999,51651385.58399999
742,WP_000562102.1,16,582216636.0344001,36388539.75215001
743,WP_000562954.1,32,3025664909.7128,94552028.428525
744,WP_000564919.1,65,6450275634.7989025,99235009.76613696
745,WP_000565746.1,19,50272450529.441025,2645918448.9179487
746,WP_000565850.1,68,258008026.55900005,3794235.684691177
747,WP_000566240.1,13,11226452260.022337,863573250.770949
748,WP_000567183.1,39,4026155150.6978216,103234747.45379029
749,WP_000567189.1,14,62497709.701000005,4464122.1215
750,WP_000567237.1,41,11007863508.643496,268484475.8205731
751,WP_000568847.1,15,1267757373.0929997,84517158.20619997
752,WP_000569939.1,6,1122762402.6526,187127067.10876667
753,WP_000570103.1,32,198312689.3824,6197271.5432
754,WP_000570129.1,45,5175479025.252602,115010645.00561337
755,WP_000570583.1,39,1868471374.2292101,47909522.41613359
756,WP_000570772.1,7,3625170278.3907976,517881468.34154254
757,WP_000572014.1,28,88364450.872,3155873.245428571
758,WP_000572090.1,47,2751768473.2143006,58548265.387538314
759,WP_000572205.1,18,1428515277.2863998,79361959.84924443
760,WP_000572974.1,23,78264116.8402,3402787.688704348
761,WP_000572985.1,55,671791516.7670006,12214391.213945465
762,WP_000575178.1,25,1276870966.4623003,51074838.658492014
763,WP_000575569.1,27,29861338396.56424,1105975496.169046
764,WP_000576229.1,57,741946067.2866002,13016597.67169474
765,WP_000576376.1,27,5511915.74,204145.0274074074
766,WP_000576459.1,19,170594732.3999,8978670.126310525
767,WP_000576871.1,23,73533493.379,3197108.407782608
768,WP_000577056.1,14,3380488.3098,241463.4507
769,WP_000577236.1,26,429853154.385,16532813.630192308
770,WP_000577498.1,21,6626091.636,315528.17314285715
771,WP_000578385.1,30,13703751.164,456791.70546666667
772,WP_000578515.1,24,174066027.434,7252751.143083333
773,WP_000579450.1,28,1340610.6454,47878.951621428576
774,WP_000579813.1,17,165882635.6514,9757802.097141176
775,WP_000579852.1,17,77213120.166,4541948.245058823
776,WP_000580062.1,15,81346896.254,5423126.416933333
777,WP_000580974.1,81,530423235.1258,6548435.001553087
778,WP_000581182.1,19,7902891178.9984,415941640.9999158
779,WP_000581246.1,3,261377800.11079994,87125933.37026665
780,WP_000581337.1,66,917917342.3460004,13907838.520393945
781,WP_000581855.1,26,129331695.23200002,4974295.970461539
782,WP_000582222.1,21,4486883551.703702,213661121.5097001
783,WP_000582255.1,18,10672550.173999999,592919.454111111
784,WP_000582618.1,57,2432372633.5061007,42673204.09659826
785,WP_000584329.1,46,280433524.3336,6096380.963773913
786,WP_000586157.1,21,6996208956.224804,333152807.4392764
787,WP_000586161.1,20,824271228.8666,41213561.443330005
788,WP_000586163.1,21,14864901942.404613,707852473.4478388
789,WP_000586170.1,21,2356572301.855819,112217728.65980092
790,WP_000587238.1,48,5059209368.876799,105400195.1849333
791,WP_000587664.1,3,2901235688.347451,967078562.7824837
792,WP_000588682.1,67,6838489.112,102067.00167164179
793,WP_000590460.1,15,73494127.8924,4899608.52616
794,WP_000590867.1,35,1576343182.2708602,45038376.636310294
795,WP_000591983.1,25,2608458754.272421,104338350.17089683
796,WP_000593328.1,20,1259653288.4439998,62982664.42219999
797,WP_000594556.1,21,16794443.11,799735.3861904761
798,WP_000594730.1,31,51441532.962,1659404.289096774
799,WP_000595826.1,33,1089771726.416,33023385.648969695
800,WP_000598571.1,29,5579141722.687206,192384197.3340416
801,WP_000599558.1,26,725075978.9280999,27887537.651080765
802,WP_000600052.1,23,790605925.14,34374170.65826087
803,WP_000600224.1,28,28704103.0513,1025146.5375464286
804,WP_000600560.1,42,42938509.2,1022345.4571428573
805,WP_000600889.1,17,1058466436.3429005,62262731.549582385
806,WP_000601181.1,23,1566769845.7536995,68120428.07624781
807,WP_000601375.1,20,35727630.208799995,1786381.5104399999
808,WP_000601711.1,57,665989278.5582001,11684022.430845616
809,WP_000601827.1,6,1805728251.0099993,300954708.50166655
810,WP_000602531.1,8,591762630.6111002,73970328.82638752
811,WP_000602773.1,22,338454344.5540001,15384288.388818186
812,WP_000603129.1,30,239582652.08859998,7986088.402953332
813,WP_000603361.1,12,87698248.44861001,7308187.3707175
814,WP_000603580.1,64,2025337263.2191994,31645894.73779999
815,WP_000603802.1,13,362602749.044,27892519.157230772
816,WP_000604072.1,6,20268933329.358383,3378155554.893064
817,WP_000604122.1,29,92453998.52679999,3188068.914717241
818,WP_000604524.1,24,267065591.2440001,11127732.968500005
819,WP_000604736.1,34,120807176.22479999,3553152.241905882
820,WP_000604760.1,46,6253485903.813604,135945345.73507836
821,WP_000608295.1,27,18602156310.82521,688968752.2527856
822,WP_000610215.1,18,60326302.066,3351461.225888889
823,WP_000610519.1,17,66771150.445999995,3927714.732117647
824,WP_000610939.1,68,84988056.40840001,1249824.3589470591
825,WP_000611594.1,10,1394400227.0446002,139440022.70446002
826,WP_000611879.1,28,67800095.75159998,2421431.991128571
827,WP_000612432.1,30,1808462679.4711995,60282089.31570665
828,WP_000612752.1,76,2481094522.679999,32645980.561578933
829,WP_000612786.1,19,3954957247.5790997,208155644.6094263
830,WP_000612797.1,27,3377152104.812661,125079707.58565412
831,WP_000613920.1,11,2854954719.3845015,259541338.12586376
832,WP_000613939.1,37,399649115.3244,10801327.4412
833,WP_000614023.1,15,133084629.572,8872308.638133334
834,WP_000614677.1,38,1526591812.0392008,40173468.7378737
835,WP_000614725.1,27,19442459239.680744,720091082.9511386
836,WP_000614734.1,12,24837572.454000004,2069797.7045000002
837,WP_000615085.1,81,145315078.00319996,1794013.308681481
838,WP_000615236.1,41,219902371.54999998,5363472.476829268
839,WP_000615243.1,5,184008859.5546,36801771.91092
840,WP_000615621.1,87,17154985926.424004,197183746.28073567
841,WP_000615647.1,22,7884841.998,358401.909
842,WP_000615700.1,41,1456325993.1978006,35520146.175556116
843,WP_000615785.1,37,27255662740.801876,736639533.5351858
844,WP_000615917.1,19,5207303456.1632,274068602.9559579
845,WP_000615986.1,26,123840180.06400006,4763083.8486153865
846,WP_000616634.1,32,3053726749.9917,95428960.93724063
847,WP_000616854.1,23,136653393.14360002,5941451.875808696
848,WP_000617026.1,19,15617074.865999999,821951.308736842
849,WP_000617710.1,35,1486894797.9127998,42482708.511794284
850,WP_000617807.1,27,3565060656.775801,132039283.58428894
851,WP_000619175.1,28,1121112470.9949996,40039731.106964275
852,WP_000619331.1,37,1907540217.3029995,51555141.00818918
853,WP_000619735.1,28,8483416.424,302979.158
854,WP_000619739.1,16,546619925.1060001,34163745.319125004
855,WP_000620160.1,27,238375922.93999997,8828737.886666665
856,WP_000620240.1,29,557938481.842,19239257.994551726
857,WP_000620247.1,27,114438625.10880001,4238467.596622222
858,WP_000620271.1,48,36841184.5266,767524.6776375001
859,WP_000620380.1,42,608270533.9430002,14482631.760547623
860,WP_000620895.1,10,1247938458.8420005,124793845.88420005
861,WP_000620907.1,19,10034055920.568808,528108206.3457267
862,WP_000621222.1,52,591973524.3759998,11384106.237999996
863,WP_000621271.1,42,370093864.1696,8811758.670704762
864,WP_000621805.1,38,13751035.332,361869.3508421053
865,WP_000622214.1,94,359952858.1904002,3829285.725429789
866,WP_000622506.1,7,1264136224.4598,180590889.20854285
867,WP_000622607.1,35,625115667.6609999,17860447.64745714
868,WP_000622941.1,49,1686718101.353599,34422818.39497141
869,WP_000623186.1,23,103115377.5324,4483277.2840173915
870,WP_000623631.1,23,1579209786.09027,68661295.04740305
871,WP_000623745.1,35,206022705.112,5886363.003199999
872,WP_000623889.1,23,2249689514.8750696,97812587.6032639
873,WP_000623974.1,37,660827898.1439998,17860213.463351347
874,WP_000625234.1,18,103885072.42400001,5771392.912444445
875,WP_000625244.1,18,2709837.916,150546.5508888889
876,WP_000625287.1,27,582723855.7791998,21582365.028859254
877,WP_000625956.1,16,61766371.260000005,3860398.2037500003
878,WP_000626010.1,31,15043028528.180206,485258984.78000665
879,WP_000626143.1,37,2799904912.8290014,75673105.75213517
880,WP_000626203.1,18,69745502.016,3874750.112
881,WP_000627565.1,24,1294458631.1952007,53935776.29980003
882,WP_000628813.1,16,687715603.5960003,42982225.22475002
883,WP_000628885.1,26,655787430.5748003,25222593.48364616
884,WP_000634421.1,18,1478916332.0117996,82162018.44509998
885,WP_000635440.1,25,892813956.4300003,35712558.25720001
886,WP_000636518.1,13,11082321.03,852486.2330769231
887,WP_000636852.1,13,694565956.1448,53428150.47267692
888,WP_000636960.1,8,79941955.484,9992744.4355
889,WP_000636970.1,15,2631357200.626802,175423813.37512013
890,WP_000637632.1,14,470557808.14849997,33611272.01060714
891,WP_000638432.1,23,181292461.1146,7882280.918026087
892,WP_000639460.1,11,75460564.639,6860051.330818182
893,WP_000642125.1,49,1178466968.8086002,24050346.30221633
894,WP_000642158.1,25,891438499.4918002,35657539.97967201
895,WP_000642736.1,18,2323897976.4411993,129105443.13562219
896,WP_000643183.1,18,7903182848.435593,439065713.8019774
897,WP_000643584.1,8,3734779928.941099,466847491.1176374
898,WP_000644405.1,25,2696912.5487999995,107876.50195199998
899,WP_000644947.1,23,349655940470.54504,15202432194.371523
900,WP_000644954.1,15,6927397502.018199,461826500.1345466
901,WP_000645315.1,19,1731004902.8250008,91105521.20131584
902,WP_000646252.1,20,20599026646.90699,1029951332.3453496
903,WP_000646914.1,26,362239986.0818001,13932307.156992313
904,WP_000647275.1,31,1964541485.5774004,63372305.986367755
905,WP_000647839.1,49,12836792221.010618,261975351.44919628
906,WP_000648186.1,10,13782588686.679314,1378258868.6679313
907,WP_000649925.1,19,630382372.8393998,33178019.623126306
908,WP_000649940.1,57,5857941533.981395,102770904.10493675
909,WP_000650727.1,20,68349574.429,3417478.72145
910,WP_000651384.1,9,84382918.99630001,9375879.88847778
911,WP_000651714.1,35,21816780468.48527,623336584.813865
912,WP_000651726.1,31,20006147.164,645359.5859354839
913,WP_000653653.1,22,809861305.7378,36811877.53353637
914,WP_000653663.1,7,145964538.049,20852076.864142857
915,WP_000653730.1,21,66108202.043999985,3148009.6211428563
916,WP_000654025.1,96,1381142556.9785998,14386901.635193748
917,WP_000654116.1,21,559999783.9467,26666656.378414284
918,WP_000654973.1,63,213447899.61479998,3388061.8986476185
919,WP_000655406.1,11,213236281.20589998,19385116.473263636
920,WP_000655500.1,10,558819441.908,55881944.190799996
921,WP_000656232.1,30,40079841.8942,1335994.7298066665
922,WP_000656510.1,29,1457838594.3513997,50270296.356944814
923,WP_000656570.1,28,346471236.695,12373972.739107143
924,WP_000657518.1,14,485311439.46339995,34665102.818814285
925,WP_000657755.1,6,18637202.7265,3106200.4544166666
926,WP_000657852.1,14,981448893.1510003,70103492.3679286
927,WP_000658256.1,8,17556190.812,2194523.8515
928,WP_000658301.1,8,438598983.2106,54824872.901325
929,WP_000658458.1,28,8279607904.648606,295700282.3088788
930,WP_000658622.1,26,100130883.32500002,3851187.820192308
931,WP_000658909.1,2,64268404.52,32134202.26
932,WP_000659127.1,10,10799756.826,1079975.6826
933,WP_000659900.1,23,732814125.7584001,31861483.72862609
934,WP_000659917.1,24,238923198.65480003,9955133.277283335
935,WP_000660163.1,26,290686842.6699999,11180263.17961538
936,WP_000660863.1,10,4551018331.1324,455101833.11323994
937,WP_000660873.1,26,176536192.2386,6789853.547638461
938,WP_000661932.1,24,457032719.8629998,19043029.99429166
939,WP_000662000.1,58,3022484544.5959992,52111802.49303447
940,WP_000662272.1,16,583730848.0078,36483178.0004875
941,WP_000662440.1,33,3796106750.0851974,115033537.88136962
942,WP_000662657.1,21,561630725.722,26744320.27247619
943,WP_000664814.1,36,8952034325.273998,248667620.14649996
944,WP_000664912.1,21,52873646.336799994,2517792.6827047616
945,WP_000665700.1,14,113069203.66709998,8076371.690507142
946,WP_000665953.1,12,1927648951.1210005,160637412.59341672
947,WP_000666066.1,32,2413389203.1367993,75418412.59802498
948,WP_000666150.1,28,160761614.2139,5741486.221925
949,WP_000666507.1,14,136737232.896,9766945.206857143
950,WP_000666552.1,26,1078650671.5559998,41486564.29061537
951,WP_000666973.1,27,173323378.91300002,6419384.404185186
952,WP_000667199.1,54,870956804.0975997,16128829.705511106
953,WP_000667225.1,20,2908514108.8784003,145425705.44392002
954,WP_000667710.1,20,8052152.698,402607.6349
955,WP_000667978.1,23,180873473.54140002,7864064.067017392
956,WP_000669336.1,19,227432721.914,11970143.25863158
957,WP_000669547.1,65,60448489.264000006,929976.7579076923
958,WP_000669757.1,41,120829941.36199999,2947071.740536585
959,WP_000669875.1,21,570337231.9294,27158915.806161903
960,WP_000670745.1,14,981970165.9220004,70140726.13728574
961,WP_000670773.1,69,1449310429.0325994,21004498.97148695
962,WP_000671159.1,12,423855580.773,35321298.39775
963,WP_000671558.1,31,1981523213.9287996,63920103.67512257
964,WP_000671644.1,38,3329068806.1396623,87607073.84578058
965,WP_000671777.1,35,649332624.9166,18552360.711902857
966,WP_000672059.1,24,62550207.90200001,2606258.662583334
967,WP_000672100.1,18,617998533.2060001,34333251.844777785
968,WP_000672155.1,11,163782683.188,14889334.835272728
969,WP_000672174.1,55,649674367.7299997,11812261.23145454
970,WP_000672221.1,13,2619413767.693598,201493366.74566138
971,WP_000672495.1,20,398732364.5659999,19936618.228299998
972,WP_000673420.1,12,7593508334.8959,632792361.241325
